Student_ID,Attendance,Assignment_Score,Study_Hours,Internal_Test_1,Internal_Test_2,Final_Exam_Marks
S2651,93,7,3,28,40,72
S2652,79,9,3,32,34,65
S2653,92,9,3,40,36,83
S2654,90,8,3,35,40,74
S2658,100,9,3,37,40,83
S2659,100,9,4,39,39,88
S2660,96,8,3,38,29,74
S2661,100,8,4,32,35,78
S2663,88,8,4,31,36,65
S2664,85,8,3,26,35,71
S2666,92,10,3,35,37,85
S2668,71,8,3,33,37,66
S2669,82,8,3,31,31,65
S2672,98,7,4,34,40,82
S2673,100,9,3,40,40,82
S2676,90,9,3,32,37,74
S2680,82,9,3,40,38,80
S2681,88,8,3,40,31,77
S2682,80,7,4,32,29,68
S2683,89,6,3,29,31,67
S2691,98,8,3,34,40,83
S2694,95,9,3,37,40,73
S2696,91,8,3,34,34,82
S2698,85,8,3,37,29,77
S2699,100,8,3,35,39,83
S2701,87,7,3,30,33,69
S2703,86,8,3,38,29,72
S2706,87,7,3,37,27,68
S2709,78,7,3,33,33,74
S2710,88,8,3,36,34,74
S2712,82,7,2,28,36,65
S2714,85,8,3,29,37,66
S2715,84,7,3,32,29,66
S2716,94,8,3,34,31,70
S2717,94,8,3,40,35,78
S2718,91,7,3,35,33,67
S2719,83,9,3,40,40,80
S2720,81,9,3,29,40,68
S2721,97,9,4,37,37,84
S2722,98,8,3,36,35,69
S2723,99,9,3,37,40,79
S2725,91,8,4,40,30,74
S2727,92,6,3,28,33,67
S2728,94,8,4,38,37,84
S2729,78,8,2,32,34,66
S2730,90,9,2,40,39,74
S2732,86,9,4,39,36,79
S2733,81,7,2,37,29,65
S2737,79,8,3,40,28,67
S2740,80,7,3,32,35,65
S2742,91,8,2,35,38,68
S2743,98,8,3,29,36,76
S2747,98,8,3,40,40,81
S2750,89,8,2,39,35,77
S2751,90,9,3,34,35,77
S2752,91,9,4,40,39,88
S2756,88,8,3,30,30,69
S2758,93,9,3,36,38,75
S2759,90,9,3,37,40,88
S2760,87,9,3,38,35,71
S2761,92,9,3,39,39,77
S2762,90,7,3,33,25,65
S2763,87,10,2,38,34,75
S2766,94,8,4,30,39,74
S2768,89,9,3,37,34,77
S2770,89,9,3,30,34,66
S2774,98,9,3,40,35,85
S2776,98,9,3,36,38,80
S2777,87,7,3,32,34,67
S2779,79,8,4,32,33,71
S2781,93,9,2,37,40,83
S2782,84,9,2,35,37,72
S2784,96,9,3,40,36,85
S2785,94,8,3,34,34,78
S2790,82,6,3,31,32,68
S2792,92,9,4,34,39,80
S2794,77,8,3,32,30,65
S2796,93,8,3,35,36,65
S2797,93,8,4,37,35,73
S2799,100,8,3,38,36,78
S2801,90,8,3,39,36,69
S2802,95,8,3,39,38,82
S2805,90,8,3,35,34,70
S2808,85,8,2,39,36,69
S2809,92,6,3,30,40,69
S2810,87,7,3,38,33,77
S2812,89,8,2,34,32,70
S2815,77,8,3,33,36,75
S2818,89,8,2,33,35,75
S2821,91,9,4,32,35,72
S2822,93,8,3,40,34,78
S2823,94,8,3,40,40,79
S2825,84,7,3,30,36,66
S2827,76,7,3,29,36,66
S2831,94,9,3,39,30,70
S2836,87,9,3,33,40,79
S2839,82,7,2,38,33,69
S2840,74,7,3,33,31,65
S2841,87,9,3,34,36,78
S2844,91,8,3,36,40,76
S2847,85,8,3,31,40,69
S2850,91,8,2,33,35,65
S2852,83,9,3,32,40,83
S2854,100,8,3,29,33,70
S2858,87,8,2,30,34,65
S2862,91,7,3,34,27,71
S2864,100,9,3,33,40,78
S2865,98,8,3,33,33,65
S2866,98,8,3,35,37,76
S2867,89,7,4,38,36,77
S2869,87,9,2,34,32,66
S2870,93,9,4,40,37,88
S2871,71,7,2,34,33,70
S2872,95,9,4,37,37,71
S2873,92,7,4,31,31,66
S2874,88,9,3,37,36,70
S2875,93,10,2,40,36,75
S2876,88,8,4,37,27,74
S2879,90,8,3,31,35,69
S2883,80,8,3,37,32,65
S2884,97,7,3,33,33,70
S2885,88,8,3,31,34,68
S2887,96,7,4,32,35,84
S2891,84,8,3,40,31,76
S2892,93,9,3,39,39,89
S2893,92,8,3,29,36,65
S2895,86,8,3,40,23,65
S2898,94,7,3,33,30,69
S2899,95,8,3,33,30,76
S2901,87,8,3,33,32,67
S2903,88,9,3,31,37,78
S2905,89,8,3,29,39,76
S2906,96,9,3,39,40,86
S2907,88,8,3,29,34,69
S2909,92,8,4,39,33,81
S2913,88,9,3,40,33,73
S2915,88,8,3,33,34,73
S2917,84,9,3,40,35,80
S2918,100,9,3,34,32,78
S2922,80,8,3,30,32,71
S2923,84,9,2,34,39,80
S2924,98,9,4,34,40,80
S2928,94,8,4,38,35,90
S2929,84,8,3,33,28,65
S2930,90,7,4,37,33,76
S2932,83,8,3,34,36,75
S2934,100,7,3,37,34,79
S2939,80,8,3,36,34,65
S2943,100,9,4,39,37,80
S2944,85,8,3,40,30,73
S2945,95,8,3,39,31,73
S2951,73,7,3,32,33,65
S2952,100,9,3,33,37,80
S2955,97,7,3,40,25,69
S2962,90,8,2,31,36,68
S2963,100,7,4,29,40,77
S2964,91,8,3,32,35,71
S2973,89,8,4,35,31,73
S2975,85,9,3,36,31,74
S2979,96,9,4,40,35,85
S2981,94,9,3,34,39,79
S2982,91,9,3,40,35,83
S2983,100,8,2,37,37,73
S2985,92,8,2,35,34,66
S2988,93,7,3,27,37,66
S2989,87,8,2,27,35,70
S2990,86,8,3,37,33,66
S2992,89,8,3,32,39,71
S2994,97,9,4,40,38,81
